Stem,Year,DBH,Comment
WF002,2014,5.9,NA
WF004,2014,3.8,NA
315,1993,16.1,NA
315,1996,16.6,NA
315,1999,17.1,NA
315,2002,17.3,NA
315,2005,17.8,NA
315,2014,19.2,NA
316,1993,4.7,NA
316,1996,4.7,NA
316,1999,4.8,NA
316,2002,4.9,NA
316,2005,4.9,NA
316,2014,NA,dead
317,1993,4.4,NA
317,1996,4.6,NA
317,1999,4.6,NA
317,2002,4.8,NA
317,2005,NA,dead
318,1993,40.6,NA
318,1996,41.9,NA
318,1999,43.4,NA
318,2002,44.7,NA
318,2005,46,NA
318,2014,49.9,NA
763,1993,3.1,NA
763,1996,3.5,NA
763,1999,NA,cut
WG677,2014,3.2,NA
WF010,2014,3.5,NA
WF012,2014,3.9,bark-stripped
WF013,2014,3.5,bark-stripped
WG678,2014,3.5,bark-stripped
1319,1993,12.7,NA
1319,1996,14,NA
1319,1999,15,NA
1319,2002,15.9,NA
1319,2005,16.8,NA
1319,2014,17.9,NA
1320,1993,31,NA
1320,1996,NA,dead
1321,1993,13.6,NA
1321,1996,14.3,NA
1321,1999,14.7,NA
1321,2002,14.8,NA
1321,2005,14.8,NA
1321,2014,15,NA
1322,1993,5,estimated
1322,1996,5,NA
1322,1999,NA,dead
1323,1993,6.6,NA
1323,1996,6.4,NA
1323,1999,NA,dead
1324,1993,16.1,NA
1324,1996,16.6,NA
1324,1999,17.1,NA
1324,2002,17.2,NA
1324,2005,17.3,NA
1324,2014,17.8,NA
1325,1993,9.9,NA
1325,1996,10,NA
1325,1999,10.2,NA
1325,2002,10.6,NA
1325,2005,10.9,NA
1325,2014,12.1,NA
1764,1993,3.4,NA
1764,1996,3.6,NA
1764,1999,3.8,fallen
1764,2002,3.8,NA
1764,2005,3.5,NA
1764,2014,4,fallen
1765,1993,4.1,NA
1765,1996,4.1,NA
1765,1999,4.3,NA
1765,2002,4.5,NA
1765,2005,4.6,NA
1765,2014,5.5,NA
WF020,2014,3.7,NA
2245,2005,3.2,NA
2245,2014,5.3,NA
2246,2005,4.2,NA
2246,2014,4.7,NA
2326,1993,9.9,NA
2326,1996,11.2,NA
2326,1999,12.5,NA
2326,2002,14.1,NA
2326,2005,15.4,NA
2326,2014,17.2,NA
2327,1993,7.7,NA
2327,1996,8,NA
2327,1999,8.2,NA
2327,2002,8.5,NA
2327,2005,8.7,NA
2327,2014,9.7,NA
2328,1993,18.5,NA
2328,1996,20,NA
2328,1999,21.6,NA
2328,2002,23.5,NA
2328,2005,25.1,NA
2328,2014,30.4,weaken/frass
2329,1993,15.8,NA
2329,1996,16.5,NA
2329,1999,17.2,NA
2329,2002,17.7,NA
2329,2005,18.2,NA
2329,2014,19,NA
2330,1993,5.6,NA
2330,1996,NA,dead
2331,1993,11.1,NA
2331,1996,12.1,NA
2331,1999,13.1,NA
2331,2002,14,NA
2331,2005,14.8,NA
2331,2014,16.2,NA
2332,1993,6.1,NA
2332,1996,6,NA
2332,1999,NA,dead
2333,1993,4.6,NA
2333,1996,4.6,NA
2333,1999,4.7,NA
2333,2002,4.7,NA
2333,2005,4.7,NA
2333,2014,NA,dead
2334,1993,20.4,NA
2334,1996,21.7,NA
2334,1999,24.6,NA
2334,2002,26.4,NA
2334,2005,29,NA
2334,2014,35.8,NA
2335,1993,6.9,NA
2335,1996,6.9,NA
2335,1999,NA,dead
2336,1993,7.4,NA
2336,1996,7.4,NA
2336,1999,NA,dead
2337,1993,4.3,NA
2337,1996,4.6,NA
2337,1999,5.2,NA
2337,2002,5.7,NA
2337,2005,6.5,NA
2337,2014,5.6,shrunk
2338,1993,21.2,NA
2338,1996,21.2,NA
2338,1999,21.3,NA
2338,2002,21.5,NA
2338,2005,21.8,NA
2338,2014,NA,dead
2339,1993,4,NA
2339,1996,NA,dead
2766,1993,3.2,NA
2766,1996,3.2,NA
2766,1999,3.3,NA
2766,2002,3.3,NA
2766,2005,3.3,NA
2766,2014,NA,dead
WF027,2014,3.6,bark-stripped
WF028,2014,3.7,NA
3201,2002,3.5,NA
3201,2005,4,NA
3201,2014,5.5,bark-stripped
3202,2002,3.5,NA
3202,2005,4.1,NA
3202,2014,6.3,bark-stripped
3340,1993,5.6,NA
3340,1996,5.7,NA
3340,1999,5.8,NA
3340,2002,6,NA
3340,2005,6,NA
3340,2014,6.5,NA
3341,1993,14.4,NA
3341,1996,15.2,NA
3341,1999,15.9,NA
3341,2002,16.5,NA
3341,2005,17.1,NA
3341,2014,18.9,NA
3342,1993,8,NA
3342,1996,9.3,NA
3342,1999,10.4,NA
3342,2002,11.3,NA
3342,2005,12,NA
3342,2014,13.2,NA
3343,1993,11.5,NA
3343,1996,11.6,NA
3343,1999,12.3,NA
3343,2002,12.4,NA
3343,2005,12.7,NA
3343,2014,13.4,NA
3344,1993,4.9,NA
3344,1996,5.4,NA
3344,1999,5.8,NA
3344,2002,6.2,NA
3344,2005,6.5,NA
3344,2014,8.1,NA
3345,1993,5.4,NA
3345,1996,5.7,NA
3345,1999,5.7,NA
3345,2002,5.7,NA
3345,2005,NA,dead
3346,1993,6.5,NA
3346,1996,NA,dead
3347,1993,5.8,NA
3347,1996,5.7,NA
3347,1999,5.9,NA
3347,2002,6,NA
3347,2005,6.1,NA
3347,2014,6.9,NA
3348,1993,5.2,NA
3348,1996,5.2,NA
3348,1999,NA,dead
3349,1993,6,NA
3349,1996,NA,dead
3350,1993,10.3,NA
3350,1996,10.3,NA
3350,1999,10.3,NA
3350,2002,10.4,NA
3350,2005,NA,dead
3767,1993,3.8,NA
3767,1996,3.7,NA
3767,1999,NA,dead
3768,1993,3.2,NA
3768,1996,3.2,NA
3768,1999,3.3,NA
3768,2002,3.4,NA
3768,2005,3.6,NA
3768,2014,3.7,NA
WF038,2014,3.5,NA
WF043,2014,3.9,bark-stripped
WF044,2014,3.2,bark-stripped
WF045,2014,3,bark-stripped
WF117,2014,3.9,bark-stripped
4111,1999,3.2,NA
4111,2002,3.3,NA
4111,2005,3.3,NA
4111,2014,3.6,NA
4203,2002,3.2,NA
4203,2005,3.7,NA
4203,2014,5.1,NA
4351,1993,6.4,NA
4351,1996,NA,dead
4353,1993,5.5,NA
4353,1996,5.7,NA
4353,1999,5.8,NA
4353,2002,5.8,NA
4353,2005,5.7,NA
4353,2014,5.8,NA
4354,1993,6.2,NA
4354,1996,6.2,NA
4354,1999,NA,dead
4355,1993,11.6,NA
4355,1996,11.9,NA
4355,1999,12,NA
4355,2002,12.1,NA
4355,2005,12.1,NA
4355,2014,NA,dead
4356,1993,14.7,NA
4356,1996,15.8,NA
4356,1999,16.8,NA
4356,2002,17.6,NA
4356,2005,18.4,NA
4356,2014,20.3,NA
4357,1993,10.2,NA
4357,1996,9.9,NA
4357,1999,NA,dead
5247,2005,3.2,NA
5247,2014,NA,dead
5248,2005,3.8,NA
5248,2014,6.6,NA
