Indv,Stem,X,Y,X1,Y1,Species,Start,End
WF002,WF002,0,0,2.8,3.2,Cleyera japonica,2014,NA
WF004,WF004,0,0,3.1,4,Quercus glauca,2014,NA
315,315,0,0,2.8,1.4,Symplocos prunifolia,1993,NA
316,316,0,0,2.1,2.1,Gamblea innovans,1993,2005
317,317,0,0,2.4,4.4,Gamblea innovans,1993,2002
318,318,0,0,3.1,3.3,Quercus serrata,1993,NA
763,763,0,0,2.6,2.9,Cleyera japonica,1993,1996
WF007,WG677,0,5,0.3,5.6,Cleyera japonica,2014,NA
WF010,WF010,0,5,3.1,5.9,Cleyera japonica,2014,NA
WF012,WF012,0,5,2.8,9.2,Cleyera japonica,2014,NA
WF013,WF013,0,5,2.8,9.3,Cleyera japonica,2014,NA
WG678,WG678,0,5,4.1,9,Cleyera japonica,2014,NA
1319,1319,0,5,0.1,7.3,Symplocos prunifolia,1993,NA
1320,1320,0,5,1.8,8.5,Gamblea innovans,1993,1993
1321,1321,0,5,2.8,6.7,Symplocos prunifolia,1993,NA
1323,1322,0,5,2.4,9.4,Lyonia ovalifolia var. elliptica,1993,1996
1323,1323,0,5,2.4,9.4,Lyonia ovalifolia var. elliptica,1993,1996
1324,1324,0,5,3.6,8.8,Symplocos prunifolia,1993,NA
1325,1325,0,5,3.5,6.2,Symplocos prunifolia,1993,NA
1764,1764,0,5,0.8,5.3,Cryptomeria japonica,1993,NA
1765,1765,0,5,1.2,9.3,Photinia glabra,1993,NA
2328,WF020,0,10,0.3,12.5,Quercus glauca,2014,NA
2334,2245,0,10,3.4,10.9,Quercus glauca,2005,NA
2246,2246,0,10,0.2,13.1,Symplocos prunifolia,2005,NA
2326,2326,0,10,1,10.7,Symplocos prunifolia,1993,NA
2327,2327,0,10,1,12,Symplocos prunifolia,1993,NA
2328,2328,0,10,0.2,12.7,Quercus glauca,1993,NA
2329,2329,0,10,0.2,14.2,Gamblea innovans,1993,NA
2329,2330,0,10,0.2,14.2,Gamblea innovans,1993,1993
2331,2331,0,10,0.6,14.3,Symplocos prunifolia,1993,NA
2332,2332,0,10,2.1,10.5,Gamblea innovans,1993,1996
2333,2333,0,10,2.3,10.6,Symplocos prunifolia,1993,2005
2334,2334,0,10,3.2,10.9,Quercus glauca,1993,NA
2335,2335,0,10,3.4,11.9,Gamblea innovans,1993,1996
2336,2336,0,10,2.7,12.5,Gamblea innovans,1993,1996
2337,2337,0,10,4.5,14.7,Abies firma,1993,NA
2338,2338,0,10,4.9,13.3,Symplocos prunifolia,1993,2005
2339,2339,0,10,4.8,11.1,Gamblea innovans,1993,1993
2766,2766,0,10,1.5,10.3,Symplocos prunifolia,1993,2005
WF027,WF027,0,15,1.7,15.5,Quercus glauca,2014,NA
WF027,WF028,0,15,1.6,15.5,Quercus glauca,2014,NA
3201,3201,0,15,4.9,17.4,Cleyera japonica,2002,NA
3201,3202,0,15,4.9,17.4,Cleyera japonica,2002,NA
3340,3340,0,15,0.9,15.2,Symplocos prunifolia,1993,NA
