都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳の男性以上,85歳の女性以上,不詳者の男性,不詳者の女性,世帯数,備考
131105,111,東京都,目黒区,2017-04-01,駒場一丁目,3995,2027,1968,65,63,85,68,52,51,70,63,156,109,231,160,215,169,202,157,170,175,165,149,114,123,78,105,80,99,126,122,66,107,63,74,48,67,41,107,0,0,2421,
131105,112,東京都,目黒区,2017-04-01,駒場二丁目,557,267,290,6,8,7,7,13,10,9,9,16,17,31,19,21,20,21,16,26,19,17,25,18,20,16,16,11,12,15,25,15,16,8,11,10,19,7,21,0,0,337,
131105,113,東京都,目黒区,2017-04-01,駒場三丁目,779,403,376,15,11,14,12,16,10,18,11,26,15,28,18,28,15,34,26,35,34,28,43,34,27,21,26,24,24,24,29,20,25,13,18,13,15,12,17,0,0,415,
131105,114,東京都,目黒区,2017-04-01,駒場四丁目,1537,736,801,23,35,35,28,31,29,47,35,101,89,70,62,49,47,52,65,43,68,54,68,55,64,34,41,32,34,35,46,26,31,23,19,16,19,10,21,0,0,876,
131105,121,東京都,目黒区,2017-04-01,青葉台一丁目,2545,1198,1347,54,36,33,40,34,39,46,29,60,53,92,89,114,119,120,129,128,134,123,122,82,100,74,83,66,67,45,72,37,70,39,53,35,47,16,65,0,0,1521,
131105,122,東京都,目黒区,2017-04-01,青葉台二丁目,939,419,520,20,23,19,22,12,10,22,16,6,16,30,34,46,53,44,53,39,62,39,31,32,29,14,38,19,16,22,29,21,28,17,19,9,13,8,28,0,0,501,
131105,123,東京都,目黒区,2017-04-01,青葉台三丁目,3063,1525,1538,68,67,56,54,38,33,34,33,90,69,149,148,226,183,207,187,156,148,130,153,104,101,66,85,55,53,51,61,35,26,27,40,24,34,9,63,0,0,2000,
131105,124,東京都,目黒区,2017-04-01,青葉台四丁目,1850,888,962,35,41,21,21,17,12,30,26,45,38,107,81,98,88,99,109,86,94,77,83,62,76,48,59,37,44,50,59,31,47,16,39,15,16,14,29,0,0,1151,
131105,131,東京都,目黒区,2017-04-01,東山一丁目,3426,1630,1796,48,65,57,50,45,49,60,61,75,77,160,135,144,162,169,170,157,156,124,155,127,137,105,98,75,67,108,102,68,96,50,68,33,72,25,76,0,0,2026,
131105,132,東京都,目黒区,2017-04-01,東山二丁目,6483,3216,3267,248,205,265,253,256,243,229,220,153,171,118,133,171,209,288,339,371,417,393,413,327,262,177,104,53,61,55,64,35,53,31,41,26,39,20,40,0,0,2588,
131105,133,東京都,目黒区,2017-04-01,東山三丁目,3102,1501,1601,81,84,63,65,64,55,54,55,102,134,195,157,184,145,138,151,124,143,111,122,89,102,74,69,42,43,44,48,41,58,43,54,23,43,29,73,0,0,1782,
131105,141,東京都,目黒区,2017-04-01,大橋一丁目,2680,1319,1361,63,72,37,31,28,23,38,21,54,49,150,132,181,160,198,159,147,162,112,155,81,103,62,56,37,54,40,49,30,35,27,38,16,32,18,30,0,0,1744,
131105,142,東京都,目黒区,2017-04-01,大橋二丁目,4398,2205,2193,94,100,76,90,75,63,88,77,135,111,227,141,219,194,241,193,208,195,196,214,158,159,115,108,79,68,73,94,78,79,54,92,41,91,48,124,0,0,2641,
