date,draft,linktitle
2026-07-28T13:00:00+09:00,false,導入: データ解析の全体像。Rの基本。
2026-07-28T14:40:00+09:00,false,データの可視化。
2026-07-29T09:00:00+09:00,false,データ構造の処理1: 抽出、集約など。
2026-07-29T10:40:00+09:00,false,データ構造の処理2: 結合、変形など。
2026-07-29T13:00:00+09:00,false,データ内容の処理: 数値、文字列など。
2026-07-30T09:00:00+09:00,false,データ入力、レポート作成
2026-07-30T10:40:00+09:00,false,確率分布、尤度
2026-07-31T09:00:00+09:00,false,一般化線形モデル(GLM)、個体差
2026-07-31T13:00:00+09:00,false,ベイズの定理、MCMC
2026-07-31T14:40:00+09:00,false,Stan、階層ベイズモデル(HBM)
